From	Entry	Entry.Name	Gene.Names
Q485T0	Q485T0	Q485T0_COLP3	CPS_1442
Q47Z78	Q47Z78	PUR5_COLP3	CPS_3196
Q47Z95	Q47Z95	DAPE_COLP3	CPS_3179
Q485X5	Q485X5	Q485X5_COLP3	CPS_1397
Q47ZB6	Q47ZB6	FADI_COLP3	CPS_3157
Q486B4	Q486B4	Q486B4_COLP3	CPS_1358
Q486B8	Q486B8	Q486B8_COLP3	CPS_1354
Q486C0	Q486C0	Q486C0_COLP3	CPS_1352
Q47ZC3	Q47ZC3	AROC_COLP3	CPS_3150
Q486C3	Q486C3	Q486C3_COLP3	CPS_1349
Q486D9	Q486D9	Q486D9_COLP3	CPS_1333
Q486H0	Q486H0	Q486H0_COLP3	CPS_1302
Q486I6	Q486I6	Q486I6_COLP3	CPS_1286
Q47ZQ7	Q47ZQ7	PSRP_COLP3	CPS_3013
Q486J9	Q486J9	Q486J9_COLP3	CPS_1273
Q486K0	Q486K0	Q486K0_COLP3	CPS_1272
Q486K1	Q486K1	Q486K1_COLP3	CPS_1271
Q486L7	Q486L7	Q486L7_COLP3	CPS_1255
Q486L8	Q486L8	Q486L8_COLP3	CPS_1254
Q47ZS4	Q47ZS4	SYFA_COLP3	CPS_2996
Q486L9	Q486L9	Q486L9_COLP3	CPS_1253
Q486N2	Q486N2	Q486N2_COLP3	CPS_1240
Q47ZS5	Q47ZS5	SYFB_COLP3	CPS_2995
Q486P1	Q486P1	Q486P1_COLP3	CPS_1231
Q486Q1	Q486Q1	Q486Q1_COLP3	CPS_1221
Q486S3	Q486S3	Q486S3_COLP3	CPS_1199
Q486S5	Q486S5	Q486S5_COLP3	CPS_1197
Q486U1	Q486U1	Q486U1_COLP3	CPS_1181
Q480A9	Q480A9	SYT_COLP3	CPS_2909
Q486U4	Q486U4	Q486U4_COLP3	CPS_1178
Q486V0	Q486V0	Q486V0_COLP3	CPS_1172
Q486V2	Q486V2	Q486V2_COLP3	CPS_1170
Q480B1	Q480B1	RL35_COLP3	CPS_2907
Q486W7	Q486W7	Q486W7_COLP3	CPS_1155
Q486Z3	Q486Z3	Q486Z3_COLP3	CPS_1129
Q487A1	Q487A1	Q487A1_COLP3	CPS_1121
Q480B3	Q480B3	PUR7_COLP3	CPS_2905
Q487A7	Q487A7	Q487A7_COLP3	CPS_1114
Q487B4	Q487B4	Q487B4_COLP3	CPS_1107
Q487B7	Q487B7	Q487B7_COLP3	CPS_1104
Q487B8	Q487B8	Q487B8_COLP3	CPS_1103
Q480B8	Q480B8	MNMA_COLP3	CPS_2900
Q487D2	Q487D2	Q487D2_COLP3	CPS_1089
Q487D5	Q487D5	Q487D5_COLP3	CPS_1086
Q487D9	Q487D9	Q487D9_COLP3	CPS_1082
Q487E0	Q487E0	Q487E0_COLP3	CPS_1081
Q480C7	Q480C7	UVRB_COLP3	CPS_2887
Q487H1	Q487H1	Q487H1_COLP3	CPS_1050
Q487H2	Q487H2	Q487H2_COLP3	CPS_1049
Q487I8	Q487I8	Q487I8_COLP3	CPS_1028
Q480D3	Q480D3	MURQ_COLP3	CPS_2881
Q487K1	Q487K1	Q487K1_COLP3	CPS_1015
Q487K7	Q487K7	Q487K7_COLP3	CPS_1009
