From	Entry	Entry.Name	Gene.Names
Q486J3	Q486J3	Q486J3_COLP3	CPS_1279
Q486J4	Q486J4	Q486J4_COLP3	CPS_1278
Q486K5	Q486K5	Q486K5_COLP3	CPS_1267
Q486M2	Q486M2	Q486M2_COLP3	CPS_1250
Q486M9	Q486M9	Q486M9_COLP3	CPS_1243
Q486N9	Q486N9	Q486N9_COLP3	CPS_1233
Q486P0	Q486P0	Q486P0_COLP3	icl CPS_1232
Q486P4	Q486P4	Q486P4_COLP3	glcB CPS_1228
Q486P9	Q486P9	Q486P9_COLP3	CPS_1223
Q486Q4	Q486Q4	Q486Q4_COLP3	CPS_1218
Q486Q6	Q486Q6	Q486Q6_COLP3	CPS_1216
Q486Q8	Q486Q8	Q486Q8_COLP3	CPS_1214
Q486Q9	Q486Q9	Q486Q9_COLP3	pilV CPS_1213
Q486R2	Q486R2	Q486R2_COLP3	CPS_1210
Q486R3	Q486R3	Q486R3_COLP3	phoR CPS_1209
Q486R4	Q486R4	Q486R4_COLP3	phoB CPS_1208
Q486R6	Q486R6	Q486R6_COLP3	CPS_1206
Q486R9	Q486R9	Q486R9_COLP3	CPS_1203
Q486S0	Q486S0	Q486S0_COLP3	yegQ CPS_1202
Q486S2	Q486S2	Q486S2_COLP3	cysB CPS_1200
Q486S6	Q486S6	Q486S6_COLP3	CPS_1196
Q486S7	Q486S7	Q486S7_COLP3	CPS_1195
Q486S9	Q486S9	Q486S9_COLP3	sohB CPS_1193
Q486T0	Q486T0	Q486T0_COLP3	CPS_1192
Q486T1	Q486T1	Q486T1_COLP3	CPS_1191
Q486T3	Q486T3	Q486T3_COLP3	fadD1 CPS_1189
Q486T5	Q486T5	Q486T5_COLP3	CPS_1187
Q486T7	Q486T7	Q486T7_COLP3	CPS_1185
Q486U5	Q486U5	Q486U5_COLP3	CPS_1177
Q486U7	Q486U7	Q486U7_COLP3	CPS_1175
Q486U9	Q486U9	Q486U9_COLP3	CPS_1173
Q486V4	Q486V4	Q486V4_COLP3	bfr2 CPS_1168
Q486V5	Q486V5	Q486V5_COLP3	bfr1 CPS_1167
Q47UE0	Q47UE0	GLMU_COLP3	glmU CPS_4944
Q486V8	Q486V8	Q486V8_COLP3	cobO2 CPS_1164
Q486V9	Q486V9	Q486V9_COLP3	CPS_1163
Q486W0	Q486W0	Q486W0_COLP3	btuB CPS_1162
Q486X4	Q486X4	Q486X4_COLP3	cobO1 CPS_1148
Q486Y8	Q486Y8	Q486Y8_COLP3	CPS_1134
Q486Y9	Q486Y9	Q486Y9_COLP3	iscU CPS_1133
Q486Z1	Q486Z1	Q486Z1_COLP3	CPS_1131
Q486Z2	Q486Z2	Q486Z2_COLP3	cysE CPS_1130
Q486Z4	Q486Z4	Q486Z4_COLP3	suhB CPS_1128
Q486Z9	Q486Z9	Q486Z9_COLP3	secF CPS_1123
Q487A2	Q487A2	Q487A2_COLP3	tgt CPS_1120
Q487B5	Q487B5	Q487B5_COLP3	CPS_1106
Q487C9	Q487C9	Q487C9_COLP3	CPS_1092
Q487D8	Q487D8	Q487D8_COLP3	nqrD CPS_1083
Q487F3	Q487F3	Q487F3_COLP3	CPS_1068
Q487G5	Q487G5	Q487G5_COLP3	napB CPS_1056
Q487G6	Q487G6	Q487G6_COLP3	napC CPS_1055
Q487G9	Q487G9	Q487G9_COLP3	CPS_1052
Q487H7	Q487H7	Q487H7_COLP3	hemH CPS_1039
Q480C9	Q480C9	QUEC1_COLP3	queC1 CPS_2885
Q487H9	Q487H9	Q487H9_COLP3	ccmH CPS_1037
Q487I0	Q487I0	Q487I0_COLP3	dsbE CPS_1036
Q487I1	Q487I1	Q487I1_COLP3	ccmF CPS_1035
Q487J1	Q487J1	Q487J1_COLP3	CPS_1025
Q487J2	Q487J2	Q487J2_COLP3	CPS_1024
Q487J3	Q487J3	Q487J3_COLP3	CPS_1023
Q487J4	Q487J4	Q487J4_COLP3	CPS_1022
Q487J5	Q487J5	Q487J5_COLP3	CPS_1021
Q487J7	Q487J7	Q487J7_COLP3	CPS_1019
Q487L5	Q487L5	Q487L5_COLP3	CPS_1001
Q487N6	Q487N6	Q487N6_COLP3	CPS_0980
Q487N7	Q487N7	Q487N7_COLP3	CPS_0979
Q487N9	Q487N9	Q487N9_COLP3	CPS_0977
Q487P6	Q487P6	Q487P6_COLP3	CPS_0970
Q487P7	Q487P7	Q487P7_COLP3	CPS_0969
Q487Q1	Q487Q1	Q487Q1_COLP3	CPS_0965
Q487Q8	Q487Q8	Q487Q8_COLP3	CPS_0958
Q487R4	Q487R4	Q487R4_COLP3	CPS_0952
Q487R5	Q487R5	Q487R5_COLP3	CPS_0951
Q487S9	Q487S9	Q487S9_COLP3	CPS_0937
