"","P01","P02","P03","P04","P05","P06","P07","P08","P09","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35","P36","P37","P38","P39","P40","P41","P42"
"Q47W36",7.67583681656619,8.03523763185562,7.87581461836471,8.47704622965119,8.3982975175865,8.30691695988401,8.21450000723321,8.02381371624565,8.30420517981367,8.2729059750221,8.61775586826922,8.08950739967027,7.71375821611078,7.76655616066367,7.64949388125906,8.21391729995477,8.11054818366834,8.38741357655651,8.28713120909798,8.18842045238944,8.03883677222665,8.50625324811902,8.28082438762273,7.91059177068102,7.95362472341403,8.08888102249111,7.94597185999096,7.93053852082813,8.23203599784,7.72364010521383,7.74357531597411,8.11668362911087,8.28720727072649,8.09368072080093,8.11668272008297,7.80505673551117,7.90075677344274,7.91684272530186,7.75770297845461,8.08325629529759,8.08817937623138,7.89208739483243
"Q47WN7",2.89583082535505,3.0142170952849,2.38532271110086,2.40157389036651,2.49276432685236,2.49448538052671,2.89392048702197,3.31092516897634,2.89617325358373,3.04543669673409,3.12725095686605,NA,2.34878656056333,2.98654818714988,2.42203677962274,2.50103733730077,2.98261437616683,3.06684076795162,2.96655085418421,2.96095189046602,2.43286735860711,3.67472364132563,3.05336846713067,1.54560076124107,2.34765737651965,2.96094464785346,2.92495853284922,2.9095302328577,2.32651232309081,2.94362807086886,2.37859970378576,2.40379992441074,3.05973777252587,2.28124963349718,3.40379895900586,3.63648335609738,3.29477459922059,2.31085502513311,2.39273088199383,2.37037656673401,2.86072405780293,2.40159231304318
"Q47WP0",1.96954553647327,3.08794508809571,3.6289557881486,4.06026370895625,3.73640246041194,3.15316847503529,2.96764679303401,1.96960583596186,1.96987005766701,4.92651195681698,3.20096744535545,4.14221278523051,3.00746514036992,NA,3.08070636637472,3.15969865314715,3.05633536504891,4.14055458745851,3.62523202942772,3.03467268452097,NA,3.01147255554385,3.71203453252546,3.78926157695504,3.59128820293671,2.03466952633814,2.99866858041029,4.30516825755,2.98517705733378,3.60231032666879,3.62224253316435,3.06247505759367,2.13345344434156,4.52489292860814,4.38439871063484,3.9732318314727,2.95346563363323,1.96954397094631,3.0514161069864,4.35097303359169,4.25635645848264,4.06027073656019
"Q47WP4",4.41195343836526,5.01577610045733,4.74943723243471,4.50267299069895,5.2719200016928,4.59557513243613,5.08812138216363,5.41201075611388,4.89771980647185,5.04699177392497,5.12880852783506,4.84765061578067,5.29787288285126,4.18074664453218,4.78615131161481,3.86514955401949,4.76177830615583,5.06839189037188,4.96810944146231,4.74011516197968,5.38194502561204,5.30187458733638,5.56948495445326,5.64671117927798,4.71176840013448,4.96250156916095,4.92650925794981,4.68868453682762,5.10565859341625,5.13783155145323,5.32768998129978,5.35287659160276,5.06129459074878,4.86776660754565,4.76791547797164,4.90107359221655,5.24386555570208,4.89738163369309,5.4938226851168,4.47145100776292,4.05491085483143,5.18074952279215
"Q47WP6",5.69844837360432,5.69131119868674,5.77289503671969,5.78916504393658,5.75481178684575,5.61903671868036,5.57101347832726,5.57297302771565,5.57325681196579,5.26309788138337,5.51483560243461,5.74558191684898,5.95876434708115,5.66363655889337,5.2246478483617,5.4735699533713,5.5222031955367,5.98493376516345,5.50613999757877,5.50053893062942,5.23547685112239,5.47733386961781,5.07837089072852,5.51816739189032,5.47219470060929,5.17860613329725,5.4645418215075,5.7121432020592,5.45104545018679,5.74625412461218,5.64065791940518,5.66584146857035,5.59932596648241,5.66883301724042,5.52833890596482,5.43910263302059,5.09739683675796,4.92083786587584,5.3652779803395,5.3429077285915,5.6633334583585,5.52613392394685
"Q47WQ0",0.477392846114719,2.59580967584818,1.55186309962364,1.5681053336385,2.24424977005338,2.66103619417585,2.47549720659697,0.477462634052906,2.06269807659406,2.94894495448634,2.29380972174987,2.97199552355867,NA,2.89006209054621,2.58856458887404,3.25253109710488,2.56418838619229,3.23337397781597,0.548157211274603,1.54253114492777,1.59942070782806,2.51932215132103,2.95686793396547,2.2971396375644,2.09914147880214,2.12749632772925,2.09151133546275,3.07606210755095,3.07800430718469,3.52521463638209,1.54516151924695,1.570317126556,2.64130834342681,3.2551507338324,3.74025332107458,3.28845263336717,2.04627550276967,1.4773999123071,0.559255137430326,3.53690504292894,2.76421087456131,3.37548152813172
"Q47WQ2",3.42559776151,3.28095480328033,3.91507791473083,3.25328340928471,3.34444690075423,2.02423815324764,2.83872725262513,2.42564484882298,3.42592803934671,2.57521310026057,3.07205867589168,2.59825392514845,3.20048053909328,3.25327912663801,3.75914857029579,3.61575276348915,3.24934300236771,3.33357052863034,3.23329039453521,2.49072351348197,1.96261788013595,3.20447771871282,1.9981729632613,2.07537888288612,2.46236649203944,1.90574865373601,2.869757445783,4.02424623954454,3.44122970015181,3.21036271470484,3.2302976949395,2.51851346273554,2.58949307666322,3.13293807710485,3.51852150514143,3.42927919444104,3.40950589227101,3.16255382347911,2.5074484197991,3.22205546943314,3.61286807907639,3.25327651661328
"Q47WQ4",3.76624354375265,3.88463387902484,3.84068439175094,4.44192049431536,3.94813381187287,4.53482487036975,4.34929540385552,4.35125468072124,4.35154227235683,3.91585378563086,3.99766861731403,NA,4.38912420751319,NA,4.46236501226383,2.95638836854842,NA,2.93724188380595,2.83696546718726,2.83135780289903,NA,NA,2.9237735104693,3.0009943475676,NA,2.8313535860503,NA,NA,NA,3.81403986644545,NA,NA,NA,NA,NA,NA,NA,NA,2.84811141071204,2.82574486182103,2.73113201821678,NA
"Q47WQ7",4.73679440870395,4.8551867215837,4.39620501762934,4.41247141474058,3.91868537735013,2.92041290267653,4.73489171960818,4.3218098268731,4.73713249262928,3.88640283648393,4.96822011170648,4.49441771979815,3.77471731191009,2.82750595427854,2.84796238818419,3.92695338833177,3.82358313928224,3.90780098755837,4.80752107398997,4.38688464798511,4.8587856098462,4.36368128172428,3.89432665868995,2.97154637092674,4.77357584699565,4.38687827158326,4.35088413551961,3.75049277418481,4.75242732784415,3.78459791560724,3.80453673082238,4.41468319827628,2.90070274552171,3.70718346149886,3.82972263243826,3.74048107663159,4.72070511728325,4.73679558525476,5.14059131149599,3.79629394365896,2.7016867216373,3.82751125694729
"Q47W53",6.47306755336622,5.95403107861023,6.19959191161127,5.92635277065389,6.16953396952907,6.17126212364614,6.12323955100804,6.25072866553123,5.98797840513193,5.40028578855683,5.70449283357237,4.83837405699183,5.5109894590912,5.92635664701217,5.9467992119901,5.66322395552034,5.33746147805185,5.64407645553108,6.05836635795813,5.90076317131428,6.10963207659434,6.02956222931275,5.9931671370099,5.70782296492857,6.02442158367906,6.0527615343196,6.15427087099177,6.00133519778378,5.68134386063647,6.29847931449024,6.19288168875099,6.21806864972767,5.6369786560234,5.63609733165555,5.34359938310693,5.66940263207232,5.97155313722744,6.25067237517187,5.55493431958944,5.31017291357389,5.80051987445718,5.34139636878049
"Q47WR7",5.46166701621752,5.34559476625076,5.2141882963644,5.13734630175051,5.32163256613281,5.02380078156945,5.4597625335483,5.59922467300817,5.3880059727209,4.98979007441922,5.17852106609604,4.89736371558851,5.26512317105277,5.40038280259873,5.57283054043503,5.13725212308763,5.22652833426598,4.89571048592159,5.7954296428142,5.59718366014672,5.78529395946546,5.35158650111097,5.54519608340683,5.46195905549818,5.56883710732346,5.66429216041934,5.69242775451978,5.54575172661175,5.54768885396912,5.18754265375082,5.5294073295462,5.40258894415183,5.82721456788489,5.28005024945413,5.04001906751059,5.31335561128996,5.87854030208416,5.6633012894012,5.68103685368873,5.19923565953133,5.56405378361162,5.55238840458337
"Q47WR9",4.27515576963168,4.39354945757595,4.3496027184109,6.36587352192394,6.26440572890328,6.12174507290268,6.49564499780389,6.49760354919069,6.39097291660828,6.69778597028129,6.87581645598749,6.25517431349711,4.53547257030701,4.36587518206395,4.1232847125215,6.46531469874265,5.86444672827689,6.25352091468989,5.46135954308504,5.66221098324603,5.39714988828224,7.15837999179751,7.43268649191946,7.2825025320517,6.2505379286502,6.14763346527126,6.30428506564881,8.28885137087336,8.33518236050521,8.02340089149346,4.92785621075697,4.95304473708627,5.31353764476617,7.54322307355762,6.99257183878392,7.44877152288005,5.37454774713071,5.14962554030251,5.09399008899372,7.24154461486232,7.1786405369545,7.13846753644749
"Q47WS0",4.93988964008459,4.90627720643907,5.59929821847885,4.8786002437835,4.79985033907271,5.1235097815566,5.0754853720116,5.31845410886029,5.42565013099382,4.93749694460576,5.01931263491216,4.96054580748114,5.4632376644527,5.5160346265697,5.0510504266438,4.97804242881271,5.40518729005445,4.78896779977856,5.38912595100093,5.14251471537944,5.06187742157689,5.24484250719841,5.58284248933715,5.17464253502268,5.11417076335491,5.00501029815321,4.64708896886682,5.33209298543924,4.80351617594963,5.25072383155818,5.14513115682035,4.88080893164364,5.24130297761463,4.75826855198113,5.032808989829,4.20660960408827,5.06130499528106,5.52484872720191,4.8697493948871,5.13688687400771,4.90477012572945,5.03060691704745
"Q47WS2",4.6436878203776,2.44015686099945,3.39620501762934,6.21983028316505,6.08861276125631,5.6753058805795,4.64177897960203,4.3218098268731,4.3220967708401,5.47136892283677,5.36053779669505,5.07938258671224,2.3596865995008,3.41247523536229,3.43291806250415,4.51191269869316,4.73047437322442,5.0777295110033,4.97744833154865,3.97184256692566,4.4437498809115,6.06411881605991,5.93871982408219,6.36386850658549,3.94350261766185,3.38687827158326,4.35088413551961,5.14280721394835,5.14474350757921,5.3695604163284,2.38950262586853,3.99964791760157,2.48567892710733,5.09949986337221,5.41468176717,5.13280049377028,2.30567870274059,2.3217490418469,3.40362571732979,3.38125644438011,3.87159979048333,3.41247714215129
"Q47WS3",2.7612869320556,2.87968571240907,2.25076816782498,4.07439649521169,3.35822047077579,4.16730735284607,3.17442691425696,2.76133665174368,3.4985921854913,3.3259344630609,2.9927073502733,3.34898319320693,2.79920577247642,3.58897272635604,3.60942084801689,3.95144720905845,4.26311268583132,3.34733272857548,3.56898069681254,3.563381720216,2.88327815106846,4.54017764665998,4.14121050748434,3.99605006344343,3.79807389374925,2.82640820324843,3.79042208282376,5.09691409516532,5.0988499951993,4.54605833560185,2.82902152115691,3.85421465440142,3.34023377028689,5.0536044869204,5.26924944065093,4.98736999381361,3.48217385005232,3.17631991783854,3.58012387740609,4.23582330020175,4.14120760959059,4.58897709485849
"Q47WS5",7.62918693588733,8.33254196114117,7.92602596415804,6.13493953198333,6.3415927693608,6.64288308728927,6.84967367955028,7.1597552041215,6.98316067690137,5.60887081675523,5.27564991616433,5.80185033204848,7.85473532595074,7.97624569269786,8.35178242811175,5.64941796264021,5.71597542251926,6.21523175402601,7.73944127895308,7.56878089005469,7.71053651357227,6.08614386504588,6.20175338194548,6.15344755843391,8.1398977717319,7.69430779055715,7.57585188965941,6.64288049568031,6.28224811616735,6.67699053173267,8.77492736162941,8.38507504835107,8.60045325379529,6.13008635556896,6.6396473581716,6.27030619318244,8.35006386474307,8.34190270533766,8.47186525481094,6.32611210825487,6.00910852119651,6.1349448075809
"Q47WS6",5.52485078176318,5.28067158368126,5.42937285812856,3.44563733692755,2.53682058986533,4.12350519473579,4.93798105800559,5.35497927310054,5.16261837215876,3.50453546080582,2.58634897578033,4.11255095640455,5.39284659944275,5.03060716832949,5.2734396711874,4.13004090321695,4.02667374733504,3.52594027783645,5.01061263171498,5.87948193778141,5.93634947543457,3.39683943523392,4.09741566216691,3.58967573558309,5.85113719583161,6.1204850502318,5.96901477668261,4.69054681681967,4.95551977330836,5.21008215881994,5.74459073431791,6.25520403343769,5.97826938208087,4.91027164542618,5.032808989829,5.52853769897563,5.50876280507947,5.81435505870602,5.75871928819755,4.41442444426966,4.31980762500829,5.03060691704745
"Q47WS7",6.22793590738267,6.40772951540437,6.17113889125356,4.79508900590607,4.4712302989541,4.47295968589824,6.28743069578342,6.22798964299685,6.02663910982427,4.66133753814959,4.52076463880791,2.87702922409643,6.60027711656455,6.54998122469072,6.62288961564964,4.47949441136055,4.59851521578866,3.46034105003949,6.16741715092741,5.93942457763575,6.07429446628824,4.06822507559069,4.66925587834284,4.52409414193802,6.32611662876646,5.76949403363288,5.90342579680185,4.03999844223926,4.52735677186492,3.7521807771595,6.41596829543261,6.25672900952423,6.32771657522488,3.67475979117919,2.79728967974971,3.2930287626248,6.54626623314961,6.74876674697633,6.37120234697144,2.76386516338158,2.66925743352943,2.79509531749543
"Q47WS9",6.02691616290263,6.24152462407446,6.15027355364313,4.58158279562933,4.67275864062237,4.93751921494432,6.16703107484888,5.97634342021344,5.86971253964338,4.64047337914951,4.98532582098929,4.80102695045947,6.20685715854246,6.16654484614806,6.18698717382929,5.05953246825099,4.42565013099382,4.50986671049683,6.28405667411751,6.36334376424871,6.42020981829248,4.01821544277537,4.49638649927469,4.40368812235393,6.56326756805466,6.23405624685174,6.00541697391312,4.50455639835198,4.99192341991394,5.30420177647614,6.40659826204409,6.50978661732015,6.5027723177264,4.46124572296485,5.26185900854376,4.49455398466544,6.61227903456258,6.37838759938278,6.42072764264644,4.68786612854759,4.30374471951284,4.58158512472413
"Q47W59",5.00358259515187,5.12197677409906,5.27067533747034,3.8719055447035,4.70004937930693,5.18720191202836,5.19432242853315,5.0036343279708,4.19656847419184,4.93080021550792,4.74958092651203,3.3688823204261,5.04150253048383,5.09430279758974,5.47731300930689,3.97134315719789,4.60494163416912,3.95219606746384,4.85191826986986,4.58328161087368,4.3182157800185,4.23814523791311,4.35375732336103,4.01594708831287,4.81796916216071,4.58327727319324,2.22534623262904,4.79488499526156,5.2118575226313,5.41395585522461,4.26396186936253,4.28915292126661,4.945103083471,4.16660923312263,4.87411491580346,4.52184612053026,4.18013975903886,4.19622868383504,4.60002293013329,5.06307658964646,4.48303745318049,4.60887410881085
"Q47WT1",5.90168499816861,4.64156433395306,5.86065435212495,3.87691946880459,2.38312770674994,4.70679406175018,5.19933894920656,5.52322847142224,5.20158195711392,4.3508540782299,4.43267233583039,4.69583829903074,5.69859820327653,6.19885500296554,5.89736766971593,4.39140455606623,5.45795847890995,4.37225041414356,5.44189620182851,4.85133456700664,4.32323610795228,4.24316917338953,3.35877788903813,4.43600233745616,4.55995242363539,4.85132897651492,5.03772550563059,4.53686547929393,4.21687971073896,5.05640415511507,6.35644627047738,5.61609682189106,5.17251067756835,4.49355702694942,4.29416697085533,3.20494113463355,6.43308475794775,6.52317117555384,6.09046578168192,4.58266987114691,3.16613364885724,3.29196746290962
